train,test,n,g,g_est
poi,lucene,10,0.604435683,0.232665055
poi,velocity,11,0.53177833,0.224487909
poi,xalan,12,0.479772965,0.214442913
poi,xerces,13,0.492189297,0.201063017
velocity,ant,5,0.595267301,0.595267301
velocity,ivy,6,0.577452668,0.519606958
velocity,log4j,7,0.451979303,0.331719929
velocity,camel,8,0.513920557,0.520152801
velocity,jedit,9,0.368580596,0.405742971
velocity,lucene,10,0.490182876,0.275584692
velocity,poi,11,0.370191188,0.218762762
velocity,xalan,12,0.478529682,0.247453759
velocity,xerces,13,0.430573392,0.22656417
xalan,ant,5,0.651003223,0.651003223
xalan,camel,6,0.47429125,0.497222026
xalan,jedit,7,0.548390424,0.453292122
xalan,log4j,8,0.489512205,0.371167998
xalan,ivy,9,0.590997096,0.548364929
xalan,lucene,10,0.591364004,0.328214577
xalan,poi,11,0.59293713,0.272216244
xalan,velocity,12,0.568100001,0.26743942
xalan,xerces,13,0.530335487,0.260316539
xerces,ant,5,0.625507644,0.625507644
xerces,log4j,6,0.508067911,0.439617954
xerces,ivy,7,0.54690553,0.556705663
xerces,jedit,8,0.396361881,0.441533612
xerces,lucene,9,0.489598089,0.36049128
xerces,camel,10,0.579555785,0.542112837
xerces,poi,11,0.576616419,0.315701983
xerces,velocity,12,0.548833566,0.302613689
xerces,xalan,13,0.464026781,0.271517428
ant,camel,5,0.041768104,0.041768104
ant,ivy,6,0.332856094,0.166428047
ant,jedit,7,0.460787041,0.15359568
ant,log4j,8,0.081180812,0.020295203
ant,lucene,9,0.124151916,0.024830383
ant,poi,10,0.101902665,0.016983777
ant,velocity,11,0.103197561,0.014742509
ant,xalan,12,0.251891769,0.031486471
ant,xerces,13,0.160004892,0.017778321
camel,ant,5,0.22148723,0.22148723
camel,ivy,6,0.24742268,0.206925364
camel,log4j,7,0.246510826,0.095700411
camel,jedit,8,0.063794079,0.138770477
camel,lucene,9,0.099460458,0.039756398
camel,poi,10,0.078733412,0.027275383
camel,velocity,11,0.14597127,0.033489475
camel,xalan,12,0.242922999,0.057916037
camel,xerces,13,0.204450925,0.038519722
ivy,ant,5,0.033700143,0.033700143
ivy,camel,6,0,0.020884052
ivy,jedit,7,0.07614152,0.117894158
ivy,log4j,8,0.187868245,0.118742369
ivy,lucene,9,0.143661361,0.060537391
ivy,poi,10,0.170316504,0.05111557
ivy,velocity,11,0.122563426,0.046214325
ivy,xalan,12,0.232321741,0.07971675
ivy,xerces,13,0.250983846,0.062126847
jedit,ant,5,0.307642248,0.307642248
jedit,camel,6,0.094874359,0.057879206
jedit,log4j,7,0.059692015,0.099058918
jedit,velocity,8,0.042663308,0.045326571
jedit,ivy,9,0.183003087,0.211369775
jedit,lucene,10,0.048997773,0.059799074
jedit,poi,11,0.033378863,0.055059641
jedit,xerces,12,0.044836913,0.059965605
jedit,xalan,14,0.076625985,0.080620557
log4j,ant,5,0.484669415,0.484669415
log4j,camel,6,0.519864086,0.288871646
log4j,ivy,7,0.455852508,0.292864019
log4j,jedit,8,0.513879027,0.216890375
log4j,lucene,9,0.552358351,0.158310929
log4j,poi,10,0.41578616,0.115180728
log4j,velocity,11,0.534505719,0.115209306
log4j,xalan,12,0.45982974,0.128021705
log4j,xerces,13,0.57931541,0.117671139
lucene,ant,5,0.491697911,0.491697911
lucene,camel,6,0.562227263,0.425549454
lucene,ivy,7,0.54185575,0.375861263
lucene,jedit,8,0.626387176,0.319264575
lucene,log4j,9,0.54584845,0.188416824
lucene,poi,10,0.585244511,0.193524691
lucene,velocity,11,0.521654034,0.173272839
lucene,xalan,12,0.516157019,0.176538619
lucene,xerces,13,0.540680982,0.164672232
poi,ant,5,0.609638732,0.609638732
poi,camel,6,0.596316229,0.510932842
poi,ivy,7,0.63356122,0.461761248
poi,jedit,8,0.629277596,0.396767831
poi,log4j,9,0.604283914,0.271590242
poi,lucene,10,0.604435683,0.232665055
poi,velocity,11,0.53177833,0.224487909
poi,xalan,12,0.479772965,0.214442913
poi,xerces,13,0.492189297,0.201063017
velocity,ant,5,0.595267301,0.595267301
velocity,ivy,6,0.577452668,0.519606958
velocity,log4j,7,0.451979303,0.331719929
velocity,camel,8,0.513920557,0.520152801
velocity,jedit,9,0.368580596,0.405742971
velocity,lucene,10,0.490182876,0.275584692
velocity,poi,11,0.370191188,0.218762762
velocity,xalan,12,0.478529682,0.247453759
velocity,xerces,13,0.430573392,0.22656417
xalan,ant,5,0.651003223,0.651003223
xalan,camel,6,0.47429125,0.497222026
xalan,jedit,7,0.548390424,0.453292122
xalan,log4j,8,0.489512205,0.371167998
xalan,ivy,9,0.590997096,0.548364929
xalan,lucene,10,0.591364004,0.328214577
xalan,poi,11,0.59293713,0.272216244
xalan,velocity,12,0.568100001,0.26743942
xalan,xerces,13,0.530335487,0.260316539
xerces,ant,5,0.625507644,0.625507644
xerces,log4j,6,0.508067911,0.439617954
xerces,ivy,7,0.54690553,0.556705663
xerces,jedit,8,0.396361881,0.441533612
xerces,lucene,9,0.489598089,0.36049128
xerces,camel,10,0.579555785,0.542112837
xerces,poi,11,0.576616419,0.315701983
xerces,velocity,12,0.548833566,0.302613689
xerces,xalan,13,0.464026781,0.271517428
ant,camel,5,0.041768104,0.041768104
ant,ivy,6,0.332856094,0.166428047
ant,jedit,7,0.460787041,0.15359568
ant,log4j,8,0.081180812,0.020295203
ant,lucene,9,0.124151916,0.024830383
ant,poi,10,0.101902665,0.016983777
ant,velocity,11,0.103197561,0.014742509
ant,xalan,12,0.251891769,0.031486471
ant,xerces,13,0.160004892,0.017778321
camel,ant,5,0.22148723,0.22148723
camel,ivy,6,0.24742268,0.206925364
camel,log4j,7,0.246510826,0.095700411
camel,jedit,8,0.063794079,0.138770477
camel,lucene,9,0.099460458,0.039756398
camel,poi,10,0.078733412,0.027275383
camel,velocity,11,0.14597127,0.033489475
